Nodes	200
0	0	0
0.111111	0	0
0.222222	0	0
0.333333	0	0
0.444444	0	0
0.555556	0	0
0.666667	0	0
0.777778	0	0
0.888889	0	0
1	0	0
0.0555556	0.096225	0
0.166667	0.096225	0
0.277778	0.096225	0
0.388889	0.096225	0
0.5	0.096225	0
0.611111	0.096225	0
0.722222	0.096225	0
0.833333	0.096225	0
0.944444	0.096225	0
1.05556	0.096225	0
0.111111	0.19245	0
0.222222	0.19245	0
0.333333	0.19245	0
0.444444	0.19245	0
0.555556	0.19245	0
0.666667	0.19245	0
0.777778	0.19245	0
0.888889	0.19245	0
1	0.19245	0
1.11111	0.19245	0
0.166667	0.288675	0
0.277778	0.288675	0
0.388889	0.288675	0
0.5	0.288675	0
0.611111	0.288675	0
0.722222	0.288675	0
0.833333	0.288675	0
0.944444	0.288675	0
1.05556	0.288675	0
1.16667	0.288675	0
0.222222	0.3849	0
0.333333	0.3849	0
0.444444	0.3849	0
0.555556	0.3849	0
0.666667	0.3849	0
0.777778	0.3849	0
0.888889	0.3849	0
1	0.3849	0
1.11111	0.3849	0
1.22222	0.3849	0
0.277778	0.481125	0
0.388889	0.481125	0
0.5	0.481125	0
0.611111	0.481125	0
0.722222	0.481125	0
0.833333	0.481125	0
0.944444	0.481125	0
1.05556	0.481125	0
1.16667	0.481125	0
1.27778	0.481125	0
0.333333	0.57735	0
0.444444	0.57735	0
0.555556	0.57735	0
0.666667	0.57735	0
0.777778	0.57735	0
0.888889	0.57735	0
1	0.57735	0
1.11111	0.57735	0
1.22222	0.57735	0
1.33333	0.57735	0
0.388889	0.673575	0
0.5	0.673575	0
0.611111	0.673575	0
0.722222	0.673575	0
0.833333	0.673575	0
0.944444	0.673575	0
1.05556	0.673575	0
1.16667	0.673575	0
1.27778	0.673575	0
1.38889	0.673575	0
0.444444	0.7698	0
0.555556	0.7698	0
0.666667	0.7698	0
0.777778	0.7698	0
0.888889	0.7698	0
1	0.7698	0
1.11111	0.7698	0
1.22222	0.7698	0
1.33333	0.7698	0
1.44444	0.7698	0
0.5	0.866025	0
0.611111	0.866025	0
0.722222	0.866025	0
0.833333	0.866025	0
0.944444	0.866025	0
1.05556	0.866025	0
1.16667	0.866025	0
1.27778	0.866025	0
1.38889	0.866025	0
1.5	0.866025	0
0	0	0.1
0.111111	0	0.1
0.222222	0	0.1
0.333333	0	0.1
0.444444	0	0.1
0.555556	0	0.1
0.666667	0	0.1
0.777778	0	0.1
0.888889	0	0.1
1	0	0.1
0.0555556	0.096225	0.1
0.166667	0.096225	0.1
0.277778	0.096225	0.1
0.388889	0.096225	0.1
0.5	0.096225	0.1
0.611111	0.096225	0.1
0.722222	0.096225	0.1
0.833333	0.096225	0.1
0.944444	0.096225	0.1
1.05556	0.096225	0.1
0.111111	0.19245	0.1
0.222222	0.19245	0.1
0.333333	0.19245	0.1
0.444444	0.19245	0.1
0.555556	0.19245	0.1
0.666667	0.19245	0.1
0.777778	0.19245	0.1
0.888889	0.19245	0.1
1	0.19245	0.1
1.11111	0.19245	0.1
0.166667	0.288675	0.1
0.277778	0.288675	0.1
0.388889	0.288675	0.1
0.5	0.288675	0.1
0.611111	0.288675	0.1
0.722222	0.288675	0.1
0.833333	0.288675	0.1
0.944444	0.288675	0.1
1.05556	0.288675	0.1
1.16667	0.288675	0.1
0.222222	0.3849	0.1
0.333333	0.3849	0.1
0.444444	0.3849	0.1
0.555556	0.3849	0.1
0.666667	0.3849	0.1
0.777778	0.3849	0.1
0.888889	0.3849	0.1
1	0.3849	0.1
1.11111	0.3849	0.1
1.22222	0.3849	0.1
0.277778	0.481125	0.1
0.388889	0.481125	0.1
0.5	0.481125	0.1
0.611111	0.481125	0.1
0.722222	0.481125	0.1
0.833333	0.481125	0.1
0.944444	0.481125	0.1
1.05556	0.481125	0.1
1.16667	0.481125	0.1
1.27778	0.481125	0.1
0.333333	0.57735	0.1
0.444444	0.57735	0.1
0.555556	0.57735	0.1
0.666667	0.57735	0.1
0.777778	0.57735	0.1
0.888889	0.57735	0.1
1	0.57735	0.1
1.11111	0.57735	0.1
1.22222	0.57735	0.1
1.33333	0.57735	0.1
0.388889	0.673575	0.1
0.5	0.673575	0.1
0.611111	0.673575	0.1
0.722222	0.673575	0.1
0.833333	0.673575	0.1
0.944444	0.673575	0.1
1.05556	0.673575	0.1
1.16667	0.673575	0.1
1.27778	0.673575	0.1
1.38889	0.673575	0.1
0.444444	0.7698	0.1
0.555556	0.7698	0.1
0.666667	0.7698	0.1
0.777778	0.7698	0.1
0.888889	0.7698	0.1
1	0.7698	0.1
1.11111	0.7698	0.1
1.22222	0.7698	0.1
1.33333	0.7698	0.1
1.44444	0.7698	0.1
0.5	0.866025	0.1
0.611111	0.866025	0.1
0.722222	0.866025	0.1
0.833333	0.866025	0.1
0.944444	0.866025	0.1
1.05556	0.866025	0.1
1.16667	0.866025	0.1
1.27778	0.866025	0.1
1.38889	0.866025	0.1
1.5	0.866025	0.1
Cells	81
0	1	10	11	100	101	110	111
1	2	11	12	101	102	111	112
2	3	12	13	102	103	112	113
3	4	13	14	103	104	113	114
4	5	14	15	104	105	114	115
5	6	15	16	105	106	115	116
6	7	16	17	106	107	116	117
7	8	17	18	107	108	117	118
8	9	18	19	108	109	118	119
10	11	20	21	110	111	120	121
11	12	21	22	111	112	121	122
12	13	22	23	112	113	122	123
13	14	23	24	113	114	123	124
14	15	24	25	114	115	124	125
15	16	25	26	115	116	125	126
16	17	26	27	116	117	126	127
17	18	27	28	117	118	127	128
18	19	28	29	118	119	128	129
20	21	30	31	120	121	130	131
21	22	31	32	121	122	131	132
22	23	32	33	122	123	132	133
23	24	33	34	123	124	133	134
24	25	34	35	124	125	134	135
25	26	35	36	125	126	135	136
26	27	36	37	126	127	136	137
27	28	37	38	127	128	137	138
28	29	38	39	128	129	138	139
30	31	40	41	130	131	140	141
31	32	41	42	131	132	141	142
32	33	42	43	132	133	142	143
33	34	43	44	133	134	143	144
34	35	44	45	134	135	144	145
35	36	45	46	135	136	145	146
36	37	46	47	136	137	146	147
37	38	47	48	137	138	147	148
38	39	48	49	138	139	148	149
40	41	50	51	140	141	150	151
41	42	51	52	141	142	151	152
42	43	52	53	142	143	152	153
43	44	53	54	143	144	153	154
44	45	54	55	144	145	154	155
45	46	55	56	145	146	155	156
46	47	56	57	146	147	156	157
47	48	57	58	147	148	157	158
48	49	58	59	148	149	158	159
50	51	60	61	150	151	160	161
51	52	61	62	151	152	161	162
52	53	62	63	152	153	162	163
53	54	63	64	153	154	163	164
54	55	64	65	154	155	164	165
55	56	65	66	155	156	165	166
56	57	66	67	156	157	166	167
57	58	67	68	157	158	167	168
58	59	68	69	158	159	168	169
60	61	70	71	160	161	170	171
61	62	71	72	161	162	171	172
62	63	72	73	162	163	172	173
63	64	73	74	163	164	173	174
64	65	74	75	164	165	174	175
65	66	75	76	165	166	175	176
66	67	76	77	166	167	176	177
67	68	77	78	167	168	177	178
68	69	78	79	168	169	178	179
70	71	80	81	170	171	180	181
71	72	81	82	171	172	181	182
72	73	82	83	172	173	182	183
73	74	83	84	173	174	183	184
74	75	84	85	174	175	184	185
75	76	85	86	175	176	185	186
76	77	86	87	176	177	186	187
77	78	87	88	177	178	187	188
78	79	88	89	178	179	188	189
80	81	90	91	180	181	190	191
81	82	91	92	181	182	191	192
82	83	92	93	182	183	192	193
83	84	93	94	183	184	193	194
84	85	94	95	184	185	194	195
85	86	95	96	185	186	195	196
86	87	96	97	186	187	196	197
87	88	97	98	187	188	197	198
88	89	98	99	188	189	198	199
Boundaries	6
Bottom	100
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76
77
78
79
80
81
82
83
84
85
86
87
88
89
90
91
92
93
94
95
96
97
98
99
Top	100
100
101
102
103
104
105
106
107
108
109
110
111
112
113
114
115
116
117
118
119
120
121
122
123
124
125
126
127
128
129
130
131
132
133
134
135
136
137
138
139
140
141
142
143
144
145
146
147
148
149
150
151
152
153
154
155
156
157
158
159
160
161
162
163
164
165
166
167
168
169
170
171
172
173
174
175
176
177
178
179
180
181
182
183
184
185
186
187
188
189
190
191
192
193
194
195
196
197
198
199
Left	20
0
10
20
30
40
50
60
70
80
90
100
110
120
130
140
150
160
170
180
190
Right	20
9
19
29
39
49
59
69
79
89
99
109
119
129
139
149
159
169
179
189
199
Front	20
0
1
2
3
4
5
6
7
8
9
100
101
102
103
104
105
106
107
108
109
Back	20
90
91
92
93
94
95
96
97
98
99
190
191
192
193
194
195
196
197
198
199
